"Name","eval/Dice","eval/MAE","eval/mIoU","module.model.prompt_type","module.model.trainable_modules","data_module.data.name","trainer.max_epochs"
"endovis18_mask_mem+md+pe+ie__148636","0.38809710934959074","4.026625657648401","0.36288083164314017","mask","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis18","30"
"endovis18_box_mem+md+pe+ie__148297","0.3914477065015672","3.4464993341968326","0.36787516082171184","box","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis18","30"
"endovis18_point_mem+md+pe+ie__148640","0.3437049311131541","4.149671501250597","0.3219862874202451","point","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis18","30"
"endovis18_mask_md+pe+ie__148641","0.3694348890708096","3.877690279452037","0.3450992754516983","mask","[""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis18","30"
"endovis18_mask_md+pe__148642","0.3772780739339998","3.498598293661476","0.3520815158199922","mask","[""mask_decoder"",""prompt_encoder""]","endovis18","30"
"endovis18_mask_md__148639","0.37877239438340343","3.4985919559593297","0.353299444321651","mask","[""mask_decoder""]","endovis18","30"
"endovis18_box_md+pe__148297","0.3694754746386529","3.717108237073567","0.3427093602467655","box","[""mask_decoder"",""prompt_encoder""]","endovis18","30"
"endovis18_box_md__148641","0.3741905702417568","3.698348397598699","0.3470101929074297","box","[""mask_decoder""]","endovis18","30"
"endovis18_point_md+pe__148640","0.3854089237862367","4.370756872524814","0.35123380501919776","point","[""mask_decoder"",""prompt_encoder""]","endovis18","30"
"endovis18_point_md__148642","0.3859979350039029","4.37422501243479","0.3521050566106725","point","[""mask_decoder""]","endovis18","30"
"endovis18_mask_mem+md+pe__148297","0.37853914949535206","4.113617733165521","0.3520294975346693","mask","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder""]","endovis18","30"
"endovis18_mask_mem__148636","0.3993126992648862","3.5907572406091126","0.37228461508958344","mask","[""memory_encoder"",""memory_attention""]","endovis18","30"
"endovis18_mask_mem+md__148637","0.3710905014075297","3.8482595854824897","0.3474127948119304","mask","[""memory_encoder"",""memory_attention"",""mask_decoder""]","endovis18","30"
"endovis18_box_mem+md+pe__148635","0.3714194872334987","4.2107588998994245","0.34147725227099357","box","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder""]","endovis18","30"
"endovis18_box_mem__148640","0.3780541789030262","3.625529134168006","0.35176338995570194","box","[""memory_encoder"",""memory_attention""]","endovis18","30"
"endovis18_box_mem+md__148638","0.3567740251095322","4.071498726351046","0.33102771081640403","box","[""memory_encoder"",""memory_attention"",""mask_decoder""]","endovis18","30"
"endovis18_point_mem+md+pe__148639","0.3779951226615302","4.505133520330455","0.34573933526890027","point","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder""]","endovis18","30"
"endovis18_point_mem+md__148641","0.37501542400369825","4.606972465650004","0.3420962559088829","point","[""memory_encoder"",""memory_attention"",""mask_decoder""]","endovis18","30"
"endovis18_point_mem__148634","0.32969282579745113","5.937621209628277","0.2937182753017967","point","[""memory_encoder"",""memory_attention""]","endovis18","30"
